ACCYMD,PLACE,CARTYPE
114年01月01日 05時07分00秒,南投縣仁愛鄉台14甲線 29公里300.0公尺處口向中外,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 05時23分00秒,南投縣仁愛鄉台14甲線 29公里300.0公尺處口向中外,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 05時23分00秒,南投縣仁愛鄉台14甲線 29公里300.0公尺處口向中外,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 05時35分04秒,臺東縣太麻里鄉台9、台11路口,自用-小客車(含客、貨兩用);大型重型2(250-550C.C.)-機車
114年01月01日 05時35分04秒,臺東縣太麻里鄉台9、台11路口,自用-小客車(含客、貨兩用);大型重型2(250-550C.C.)-機車
114年01月01日 05時50分00秒,屏東縣恆春鎮水蛙窟與台26線路口,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 05時50分00秒,屏東縣恆春鎮水蛙窟與台26線路口,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 05時50分46秒,宜蘭縣蘇澳鎮中山路一段與中正路口,普通重型-機車;普通重型-機車
114年01月01日 05時50分46秒,宜蘭縣蘇澳鎮中山路一段與中正路口,普通重型-機車;普通重型-機車
114年01月01日 06時00分00秒,彰化縣大村鄉仁愛街12號對面,自用-小客車(含客、貨兩用)
114年01月01日 06時00分00秒,彰化縣大村鄉仁愛街12號對面,自用-小客車(含客、貨兩用)
114年01月01日 06時10分51秒,南投縣仁愛鄉台14線 71公里,普通重型-機車;普通重型-機車
114年01月01日 06時10分51秒,南投縣仁愛鄉台14線 71公里,普通重型-機車;普通重型-機車
114年01月01日 06時15分20秒,臺南市大內區台84線 33.2公尺處向外側,自用-曳引車;自用-小客車(含客、貨兩用)
114年01月01日 06時15分20秒,臺南市大內區台84線 33.2公尺處向外側,自用-曳引車;自用-小客車(含客、貨兩用)
114年01月01日 06時22分00秒,桃園市桃園區中正路251號附近,普通重型-機車;自用-小客車(含客、貨兩用)
114年01月01日 06時22分00秒,桃園市桃園區中正路251號附近,普通重型-機車;自用-小客車(含客、貨兩用)
114年01月01日 06時23分00秒,苗栗縣苑裡鎮國道3號 157公里北側向交流道,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 06時23分00秒,苗栗縣苑裡鎮國道3號 157公里北側向交流道,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 06時30分00秒,桃園市中壢區國道1號 60公里600.0公尺處北側向高架外側車道,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 06時30分00秒,桃園市中壢區國道1號 60公里600.0公尺處北側向高架外側車道,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 06時48分29秒,花蓮縣花蓮市重慶路口 / 花蓮縣花蓮市福町路口,營業用-小貨車;自用-小客車(含客、貨兩用)
114年01月01日 06時48分29秒,花蓮縣花蓮市重慶路口 / 花蓮縣花蓮市福町路口,營業用-小貨車;自用-小客車(含客、貨兩用)
114年01月01日 06時50分00秒,南投縣仁愛鄉台14甲線 23公里600.0公尺處附近向中外,自用-小客車(含客、貨兩用)
114年01月01日 06時50分00秒,南投縣仁愛鄉台14甲線 23公里600.0公尺處附近向中外,自用-小客車(含客、貨兩用)
114年01月01日 07時00分00秒,南投縣仁愛鄉台14甲線 30公里900.0公尺處口向中外,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 07時00分00秒,南投縣仁愛鄉台14甲線 30公里900.0公尺處口向中外,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 07時16分00秒,花蓮縣花蓮市中山路西側 / 花蓮縣花蓮市中央路3段北側,營業用-大貨車;自用-小客車(含客、貨兩用)
114年01月01日 07時16分00秒,花蓮縣花蓮市中山路西側 / 花蓮縣花蓮市中央路3段北側,營業用-大貨車;自用-小客車(含客、貨兩用)
114年01月01日 07時16分07秒,桃園市楊梅區大成路15號,自用-小客車(含客、貨兩用);普通重型-機車
114年01月01日 07時16分07秒,桃園市楊梅區大成路15號,自用-小客車(含客、貨兩用);普通重型-機車
114年01月01日 07時16分51秒,彰化縣溪湖鎮西環路233號,普通重型-機車;自用-小客車(含客、貨兩用)
114年01月01日 07時16分51秒,彰化縣溪湖鎮西環路233號,普通重型-機車;自用-小客車(含客、貨兩用)
114年01月01日 07時27分48秒,臺南市南區濱南路附近 / 臺南市南區灣裡路附近,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 07時27分48秒,臺南市南區濱南路附近 / 臺南市南區灣裡路附近,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 07時30分48秒,雲林縣斗六市五福街70巷2號,租賃車-小客車(含客、貨兩用);普通重型-機車
114年01月01日 07時30分48秒,雲林縣斗六市五福街70巷2號,租賃車-小客車(含客、貨兩用);普通重型-機車
114年01月01日 07時41分00秒,臺南市新營區國道1號 294公里500.0公尺處北側向中線,自用-小貨車;自用-小客車(含客、貨兩用)
114年01月01日 07時41分00秒,臺南市新營區國道1號 294公里500.0公尺處北側向中線,自用-小貨車;自用-小客車(含客、貨兩用)
114年01月01日 07時44分56秒,桃園市大園區民生南路口 / 桃園市大園區中華路口,租賃車-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 07時44分56秒,桃園市大園區民生南路口 / 桃園市大園區中華路口,租賃車-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 07時45分00秒,宜蘭縣礁溪鄉份尾二路119巷口,自用-小客車(含客、貨兩用)
114年01月01日 07時45分00秒,宜蘭縣礁溪鄉份尾二路119巷口,自用-小客車(含客、貨兩用)
114年01月01日 07時52分00秒,南投縣仁愛鄉台14甲線 20公里100.0公尺處附近向中外,普通重型-機車;自用-小客車(含客、貨兩用)
114年01月01日 07時52分00秒,南投縣仁愛鄉台14甲線 20公里100.0公尺處附近向中外,普通重型-機車;自用-小客車(含客、貨兩用)
114年01月01日 07時59分00秒,臺東縣臺東市更生路與四維路口,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 07時59分00秒,臺東縣臺東市更生路與四維路口,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 08時07分03秒,彰化縣花壇鄉長沙村彰員路二段497號附近,自用-小貨車;自用-小客車(含客、貨兩用)
114年01月01日 08時07分03秒,彰化縣花壇鄉長沙村彰員路二段497號附近,自用-小貨車;自用-小客車(含客、貨兩用)
114年01月01日 08時08分47秒,臺南市新化區知義里大目降大道189號,普通重型-機車
114年01月01日 08時08分47秒,臺南市新化區知義里大目降大道189號,普通重型-機車
114年01月01日 08時09分04秒,臺南市北區北成路184號東側,自用-小客車(含客、貨兩用);租賃車-小客車(含客、貨兩用)
114年01月01日 08時09分04秒,臺南市北區北成路184號東側,自用-小客車(含客、貨兩用);租賃車-小客車(含客、貨兩用)
114年01月01日 08時15分01秒,宜蘭縣冬山鄉美和路二段口 / 宜蘭縣冬山鄉義成路三段口,自用-小貨車;自用-小客車(含客、貨兩用)
114年01月01日 08時15分01秒,宜蘭縣冬山鄉美和路二段口 / 宜蘭縣冬山鄉義成路三段口,自用-小貨車;自用-小客車(含客、貨兩用)
114年01月01日 08時20分00秒,桃園市八德區福德一路附近 / 桃園市八德區和成路附近,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
